gender,excited,exclude,shape
m,1,0,spiky-1
f,1,1,spiky-1
f,1,0,spiky-1
f,1,0,spiky-1
m,1,0,spiky-1
f,1,0,spiky-1
f,1,0,spiky-1
m,1,0,spiky-1
f,1,0,spiky-1
f,1,0,spiky-1
f,1,0,spiky-1
f,1,0,spiky-1
m,1,0,spiky-1
f,1,0,spiky-1
f,1,0,spiky-1
m,1,0,spiky-1
m,1,0,spiky-1
m,0,0,spiky-1
m,0,0,rounded-1
f,0,0,rounded-1
m,0,0,rounded-1
f,0,0,rounded-1
f,0,0,rounded-1
m,0,0,rounded-1
m,0,0,rounded-1
f,0,0,rounded-1
f,0,0,rounded-1
m,0,0,rounded-1
f,1,0,rounded-1
m,1,0,rounded-1
f,1,0,rounded-1
f,1,0,rounded-1
f,1,0,rounded-1
m,1,0,rounded-1
m,1,0,rounded-1
m,1,1,spiky-2
m,1,0,spiky-2
f,1,1,spiky-2
f,1,0,spiky-2
f,1,0,spiky-2
f,1,0,spiky-2
f,1,0,spiky-2
f,1,0,spiky-2
m,1,1,spiky-2
f,1,0,spiky-2
m,1,0,spiky-2
f,1,0,spiky-2
f,1,0,spiky-2
f,1,0,spiky-2
m,0,0,spiky-2
f,0,0,spiky-2
m,0,0,spiky-2
f,0,0,spiky-2
f,0,0,rounded-2
f,0,0,rounded-2
f,0,0,rounded-2
f,0,0,rounded-2
f,0,0,rounded-2
f,0,0,rounded-2
f,0,0,rounded-2
m,0,0,rounded-2
f,0,1,rounded-2
f,0,0,rounded-2
f,0,1,rounded-2
f,0,0,rounded-2
m,0,0,rounded-2
m,0,1,rounded-2
f,0,1,rounded-2
f,0,0,rounded-2
m,1,0,rounded-2
f,1,0,rounded-2
