id_anon,audioFile,leftImage,rightImage,selectedImage,congruent,rt
1,clickemotionhard.wav,sad.png,angry.png,right,1,0.68353
2,clickemotionsoft.wav,angry.png,sad.png,right,1,0.32331
3,clickemotionhard.wav,sad.png,angry.png,right,1,0.98568
4,clickemotionhard.wav,sad.png,angry.png,right,1,0.52891
5,clickemotionhard.wav,angry.png,sad.png,left,1,0.52645
6,clickemotionhard.wav,angry.png,sad.png,left,1,0.45618
7,clickemotionsoft.wav,sad.png,angry.png,right,0,0.23628
8,clickemotionhard.wav,sad.png,angry.png,right,1,0.79929
9,clickemotionhard.wav,sad.png,angry.png,right,1,0.18685
10,clickemotionhard.wav,sad.png,angry.png,right,1,2.8732
11,clickemotionsoft.wav,angry.png,sad.png,right,1,0.91867
12,clickemotionhard.wav,sad.png,angry.png,right,1,0.45784
13,clickemotionsoft.wav,sad.png,angry.png,left,1,0.48768
14,clickemotionsoft.wav,sad.png,angry.png,left,1,0.38565
15,clickemotionhard.wav,sad.png,angry.png,right,1,0.44547
16,clickemotionhard.wav,angry.png,sad.png,left,1,0.54978
17,clickemotionhard.wav,sad.png,angry.png,right,1,1.0596
18,clickemotionhard.wav,angry.png,sad.png,left,1,0.3948
19,clickemotionsoft.wav,angry.png,sad.png,right,1,0.52437
20,clickemotionhard.wav,angry.png,sad.png,left,1,0.29431
21,clickemotionhard.wav,angry.png,sad.png,left,1,0.57121
22,clickemotionsoft.wav,sad.png,angry.png,left,1,0.3277
23,clickemotionsoft.wav,angry.png,sad.png,left,0,0.40707
24,clickemotionhard.wav,angry.png,sad.png,left,1,0.87493
25,clickemotionsoft.wav,sad.png,angry.png,left,1,0.13323
26,clickemotionsoft.wav,sad.png,angry.png,right,0,0.81013
27,clickemotionsoft.wav,sad.png,angry.png,left,1,0.66521
28,clickemotionsoft.wav,sad.png,angry.png,right,0,0.81494
29,clickemotionhard.wav,angry.png,sad.png,left,1,0.85532
30,clickemotionsoft.wav,angry.png,sad.png,right,1,0.59313
31,clickemotionsoft.wav,sad.png,angry.png,left,1,0.45095
32,clickemotionhard.wav,angry.png,sad.png,left,1,1.364
33,clickemotionsoft.wav,angry.png,sad.png,right,1,0.34242
34,clickemotionhard.wav,angry.png,sad.png,left,1,0.82985
35,clickemotionsoft.wav,angry.png,sad.png,right,1,2.7484
36,clickemotionsoft.wav,sad.png,angry.png,left,1,3.2463
37,clickemotionsoft.wav,sad.png,angry.png,left,1,0.26596
38,clickemotionsoft.wav,sad.png,angry.png,left,1,0.33918
39,clickemotionsoft.wav,angry.png,sad.png,right,1,0.34947
40,clickemotionsoft.wav,sad.png,angry.png,left,1,0.30923
41,clickemotionsoft.wav,angry.png,sad.png,right,1,0.32681
42,clickemotionsoft.wav,angry.png,sad.png,left,0,0.67169
43,clickemotionhard.wav,sad.png,angry.png,right,1,0.18852
44,clickemotionsoft.wav,sad.png,angry.png,left,1,5.5552
45,clickemotionhard.wav,angry.png,sad.png,left,1,0.29525
46,clickemotionhard.wav,sad.png,angry.png,right,1,0.56206
47,clickemotionhard.wav,sad.png,angry.png,right,1,0.62948
48,clickemotionhard.wav,angry.png,sad.png,left,1,0.53324
49,clickemotionsoft.wav,sad.png,angry.png,left,1,0.50374
50,clickemotionhard.wav,angry.png,sad.png,left,1,0.52033
51,clickemotionsoft.wav,angry.png,sad.png,right,1,0.64661
52,clickemotionsoft.wav,angry.png,sad.png,right,1,0.14534
53,clickemotionhard.wav,angry.png,sad.png,left,1,0.46816
54,clickemotionhard.wav,sad.png,angry.png,right,1,0.47494
55,clickemotionsoft.wav,angry.png,sad.png,left,0,0.33151
56,clickemotionsoft.wav,angry.png,sad.png,right,1,0.32512
57,clickemotionhard.wav,sad.png,angry.png,right,1,1.8319
58,clickemotionsoft.wav,angry.png,sad.png,right,1,0.70611
59,clickemotionhard.wav,angry.png,sad.png,left,1,0.43884
