gender,excited,exclude,sound
m,1,0,sine
f,1,0,sine
m,1,0,sine
f,1,0,sine
m,1,0,sine
m,1,0,sine
f,1,0,sine
f,1,0,sine
m,1,0,sine
f,1,0,sine
f,0,0,sine
f,0,0,sine
f,0,0,sine
f,0,0,sine
m,0,0,sine
m,0,0,sine
f,0,0,sine
m,0,0,sine
m,0,0,sine
m,0,0,sine
m,0,0,sine
m,0,0,sine
f,0,0,sine
m,0,0,sine
m,0,0,sine
m,0,0,sine
f,0,0,sine
f,0,0,sine
m,0,0,sine
m,0,0,sine
f,0,0,sine
f,0,0,sine
m,0,0,sine
m,0,0,sine
m,0,0,sine
m,1,0,noise
m,1,0,noise
m,1,0,noise
f,1,0,noise
m,1,0,noise
f,1,0,noise
m,1,0,noise
f,1,0,noise
f,1,0,noise
f,1,,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
f,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
m,1,0,noise
f,1,0,noise
f,1,0,noise
f,1,0,noise
f,1,0,noise
f,1,0,noise
f,1,0,noise
